N,trapezoid,monte carlo
8,1.77886,1.14855
16,1.77245,2.08488
32,1.77245,2.42808
64,1.77245,1.94775
128,1.77245,2.06897
256,1.77245,1.93016
512,1.77245,1.99135
1024,1.77245,1.91609
